order_id,customer_id,product_id,order_date,quantity,total_amount,discount_code,status
1,541,39,2025-10-15 20:35:58,1,486.23,HOLIDAY,COMPLETED
2,688,42,2025-09-21 04:33:58,1,84.89,,COMPLETED
3,347,2,2026-01-09 06:50:58,1,78.37,,COMPLETED
4,61,15,2025-04-16 15:31:58,1,355.24,WELCOME10,COMPLETED
5,220,35,2025-05-20 13:35:58,3,1295.34,,COMPLETED
6,827,27,2025-06-18 16:42:58,1,80.01,SAVE20,COMPLETED
7,885,47,2025-04-10 11:17:58,5,2370.05,,COMPLETED
8,348,7,2025-07-18 19:48:58,1,406.62,SAVE20,COMPLETED
9,474,16,2025-04-21 04:27:58,3,1166.4,,COMPLETED
10,554,1,2025-04-29 20:46:58,1,22.26,,PENDING
11,925,4,2025-06-06 01:36:58,5,279.55,SAVE20,COMPLETED
12,714,47,2025-12-23 11:21:58,1,474.01,WELCOME10,COMPLETED
13,60,38,2025-12-15 15:23:58,1,223.03,,COMPLETED
14,942,34,2025-06-01 15:08:58,1,498.1,,COMPLETED
15,692,16,2025-10-05 17:32:58,1,388.8,,COMPLETED
16,674,38,2025-12-28 05:56:58,3,669.09,HOLIDAY,COMPLETED
17,245,17,2025-10-01 18:18:58,1,434.58,WELCOME10,CANCELLED
18,959,5,2025-03-18 04:15:58,5,115.0,,COMPLETED
19,519,17,2025-05-20 01:32:58,1,434.58,WELCOME10,COMPLETED
20,449,35,2026-03-08 23:15:58,5,2158.9,HOLIDAY,COMPLETED
21,307,43,2025-05-05 17:52:58,1,477.21,HOLIDAY,COMPLETED
22,279,19,2026-01-16 20:21:58,1,184.08,,COMPLETED
23,928,4,2025-04-30 10:03:58,2,111.82,,COMPLETED
24,134,41,2025-07-25 19:23:58,1,422.42,,COMPLETED
25,78,45,2025-05-29 06:38:58,2,930.52,SAVE20,COMPLETED
26,316,24,2025-04-03 00:49:58,1,206.57,WELCOME10,COMPLETED
27,906,27,2026-01-25 12:45:58,3,240.03,,RETURNED
28,831,12,2025-10-10 13:47:58,2,545.5,SAVE20,COMPLETED
29,885,48,2025-07-18 21:46:58,2,819.7,SAVE20,PENDING
30,880,31,2025-07-04 20:28:58,3,163.65,WELCOME10,COMPLETED
31,893,15,2025-07-05 14:18:58,1,355.24,WELCOME10,PENDING
32,991,50,2025-08-03 01:17:58,1,473.96,,COMPLETED
33,994,17,2025-06-13 07:52:58,1,434.58,WELCOME10,COMPLETED
34,322,28,2026-01-18 05:43:58,1,274.1,WELCOME10,COMPLETED
35,447,1,2025-12-05 07:19:58,2,44.52,WELCOME10,COMPLETED
36,972,43,2025-08-30 08:56:58,1,477.21,HOLIDAY,CANCELLED
37,520,20,2026-02-18 02:56:58,1,308.47,,COMPLETED
38,431,43,2025-09-24 11:23:58,3,1431.63,SAVE20,COMPLETED
39,1,20,2025-08-06 20:03:58,2,616.94,SAVE20,COMPLETED
40,692,14,2025-11-30 05:26:58,3,1331.61,HOLIDAY,COMPLETED
41,528,43,2026-02-01 08:57:58,1,477.21,HOLIDAY,COMPLETED
42,826,13,2025-05-27 13:38:58,1,48.61,,COMPLETED
43,75,30,2025-10-12 10:12:58,1,498.69,SAVE20,COMPLETED
44,152,42,2026-02-28 14:33:58,2,169.78,SAVE20,COMPLETED
45,824,45,2025-12-04 03:39:58,1,465.26,SAVE20,COMPLETED
46,476,43,2025-12-10 07:14:58,1,477.21,,COMPLETED
47,914,33,2025-10-18 07:04:58,3,906.72,SAVE20,COMPLETED
48,254,41,2025-08-02 06:07:58,1,422.42,SAVE20,COMPLETED
49,293,16,2025-07-30 23:56:58,3,1166.4,,COMPLETED
50,393,45,2025-05-31 11:49:58,1,465.26,WELCOME10,COMPLETED
51,426,4,2025-06-27 03:00:58,3,167.73,,COMPLETED
52,7,23,2025-08-13 02:30:58,3,366.69,,COMPLETED
53,560,39,2025-07-04 04:50:58,1,486.23,,COMPLETED
54,685,44,2025-10-07 12:46:58,2,606.96,,COMPLETED
55,929,26,2026-01-11 08:18:58,1,203.86,,PENDING
56,187,4,2025-07-25 01:56:58,1,55.91,WELCOME10,COMPLETED
57,389,18,2025-10-14 22:29:58,1,321.49,HOLIDAY,COMPLETED
58,975,23,2025-07-06 09:40:58,2,244.46,,CANCELLED
59,205,2,2026-01-25 17:51:58,1,78.37,,CANCELLED
60,477,45,2025-07-23 00:46:58,1,465.26,,RETURNED
61,111,38,2025-03-26 23:12:58,1,223.03,SAVE20,CANCELLED
62,204,5,2026-01-11 12:29:58,1,23.0,HOLIDAY,COMPLETED
63,871,44,2026-01-14 17:26:58,5,1517.4,WELCOME10,COMPLETED
64,678,24,2025-04-18 06:17:58,1,206.57,SAVE20,COMPLETED
65,984,24,2026-02-02 04:21:58,1,206.57,HOLIDAY,COMPLETED
66,667,18,2026-01-23 07:25:58,1,321.49,,COMPLETED
67,331,16,2025-04-26 22:32:58,1,388.8,,COMPLETED
68,389,22,2025-03-28 05:30:58,1,117.61,,COMPLETED
69,265,22,2025-08-04 09:20:58,3,352.83,,CANCELLED
70,88,16,2025-10-08 05:11:58,2,777.6,,COMPLETED
71,459,2,2025-04-29 22:50:58,1,78.37,WELCOME10,COMPLETED
72,378,31,2025-12-22 05:58:58,1,54.55,WELCOME10,COMPLETED
73,278,20,2025-07-19 20:43:58,2,616.94,,COMPLETED
74,974,49,2026-03-01 18:48:58,1,385.26,WELCOME10,COMPLETED
75,779,34,2026-01-12 22:42:58,2,996.2,,COMPLETED
76,310,1,2026-03-11 06:44:58,1,22.26,,COMPLETED
77,967,9,2026-02-03 04:42:58,3,346.5,SAVE20,COMPLETED
78,349,12,2025-04-08 22:31:58,1,272.75,SAVE20,COMPLETED
79,591,41,2026-02-27 14:45:58,1,422.42,,RETURNED
80,122,36,2025-10-13 09:14:58,2,688.08,,COMPLETED
81,931,29,2025-08-13 08:03:58,1,449.93,,RETURNED
82,102,49,2025-06-28 09:49:58,1,385.26,,COMPLETED
83,566,5,2025-06-01 14:02:58,1,23.0,WELCOME10,COMPLETED
84,296,46,2025-08-05 12:31:58,1,127.33,WELCOME10,COMPLETED
85,641,38,2026-02-14 20:03:58,1,223.03,HOLIDAY,COMPLETED
